Player,player_key,birth_year__yr_def,draft_year__yr_def,draft_round__yr_def,draft_pick__yr_def,draft_ovr__yr_def,height__yr_def,weight__yr_def,season__yr_def,solo_tackle__yr_def,assist_tackle__yr_def,tackle_with_assist__yr_def,sack__yr_def,qb_hit__yr_def,safety__yr_def,interception__yr_def,def_touchdown__yr_def,defensive_two_point_attempt__yr_def,fumble_forced__yr_def,defensive_two_point_conv__yr_def,defensive_extra_point_attempt__yr_def,defensive_extra_point_conv__yr_def,fantasy_points_ppr__yr_def,fantasy_points_standard__yr_def,defense_snaps__yr_def,team_defense_snaps__yr_def,depth_team__yr_def,games_missed__yr_def,defense_pct__yr_def,age__yr_def,seasons_played__yr_def,games_played_season__yr_def,games_played_career__yr_def,career_solo_tackle__yr_def,career_assist_tackle__yr_def,career_tackle_with_assist__yr_def,career_sack__yr_def,career_qb_hit__yr_def,career_safety__yr_def,career_interception__yr_def,career_def_touchdown__yr_def,career_defensive_two_point_attempt__yr_def,career_fumble_forced__yr_def,career_defensive_two_point_conv__yr_def,career_defensive_extra_point_attempt__yr_def,career_defensive_extra_point_conv__yr_def,career_fantasy_points_ppr__yr_def,career_fantasy_points_standard__yr_def,career_defense_snaps__yr_def,career_team_defense_snaps__yr_def,season_average_solo_tackle__yr_def,career_average_solo_tackle__yr_def,season_average_assist_tackle__yr_def,career_average_assist_tackle__yr_def,season_average_tackle_with_assist__yr_def,career_average_tackle_with_assist__yr_def,season_average_sack__yr_def,career_average_sack__yr_def,season_average_qb_hit__yr_def,career_average_qb_hit__yr_def,season_average_safety__yr_def,career_average_safety__yr_def,season_average_interception__yr_def,career_average_interception__yr_def,season_average_def_touchdown__yr_def,career_average_def_touchdown__yr_def,season_average_defensive_two_point_attempt__yr_def,career_average_defensive_two_point_attempt__yr_def,season_average_fumble_forced__yr_def,career_average_fumble_forced__yr_def,season_average_defensive_two_point_conv__yr_def,career_average_defensive_two_point_conv__yr_def,season_average_defensive_extra_point_attempt__yr_def,career_average_defensive_extra_point_attempt__yr_def,season_average_defensive_extra_point_conv__yr_def,career_average_defensive_extra_point_conv__yr_def,season_average_fantasy_points_ppr__yr_def,career_average_fantasy_points_ppr__yr_def,season_average_fantasy_points_standard__yr_def,career_average_fantasy_points_standard__yr_def,season_average_defense_snaps__yr_def,career_average_defense_snaps__yr_def,season_average_team_defense_snaps__yr_def,career_average_team_defense_snaps__yr_def,delta_def_touchdown__yr_def,delta_fantasy_points_ppr__yr_def,delta_fantasy_points_standard__yr_def,delta_defense_snaps__yr_def,delta_team_defense_snaps__yr_def,delta_depth_team__yr_def,delta_games_missed__yr_def,delta_defense_pct__yr_def,delta_career_solo_tackle__yr_def,delta_career_assist_tackle__yr_def,delta_career_tackle_with_assist__yr_def,delta_career_sack__yr_def,delta_career_qb_hit__yr_def,delta_career_safety__yr_def,delta_career_interception__yr_def,delta_career_def_touchdown__yr_def,delta_career_defensive_two_point_attempt__yr_def,delta_career_fumble_forced__yr_def,delta_career_defensive_two_point_conv__yr_def,delta_career_defensive_extra_point_attempt__yr_def,delta_career_defensive_extra_point_conv__yr_def,delta_career_fantasy_points_ppr__yr_def,delta_career_fantasy_points_standard__yr_def,delta_career_defense_snaps__yr_def,delta_career_team_defense_snaps__yr_def,delta_season_average_solo_tackle__yr_def,delta_career_average_solo_tackle__yr_def,delta_season_average_assist_tackle__yr_def,delta_career_average_assist_tackle__yr_def,delta_season_average_tackle_with_assist__yr_def,delta_career_average_tackle_with_assist__yr_def,delta_season_average_sack__yr_def,delta_career_average_sack__yr_def,delta_season_average_qb_hit__yr_def,delta_career_average_qb_hit__yr_def,delta_season_average_safety__yr_def,delta_career_average_safety__yr_def,delta_season_average_interception__yr_def,delta_career_average_interception__yr_def,delta_season_average_def_touchdown__yr_def,delta_career_average_def_touchdown__yr_def,delta_season_average_defensive_two_point_attempt__yr_def,delta_career_average_defensive_two_point_attempt__yr_def,delta_season_average_fumble_forced__yr_def,delta_career_average_fumble_forced__yr_def,delta_season_average_defensive_two_point_conv__yr_def,delta_career_average_defensive_two_point_conv__yr_def,delta_season_average_defensive_extra_point_attempt__yr_def,delta_career_average_defensive_extra_point_attempt__yr_def,delta_season_average_defensive_extra_point_conv__yr_def,delta_career_average_defensive_extra_point_conv__yr_def,delta_season_average_fantasy_points_ppr__yr_def,delta_career_average_fantasy_points_ppr__yr_def,delta_season_average_fantasy_points_standard__yr_def,delta_career_average_fantasy_points_standard__yr_def,delta_season_average_defense_snaps__yr_def,delta_career_average_defense_snaps__yr_def,delta_season_average_team_defense_snaps__yr_def,delta_career_average_team_defense_snaps__yr_def,draft_year__cmb,rnd__cmb,pick__cmb,g__cmb,id__cmb,year_signed__cmb,value__cmb,value_norm__cmb,gtd__cmb,gtd_norm__cmb
A'Shawn Robinson,a'shawn robinson,1995.0,2016.0,2.0,15.0,46.0,75.0,320.0,2020.0,32.666666666666664,28.0,9.333333333333334,6.111111111111111,7.888888888888889,0.0,0.3333333333333333,0.3333333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,491.3333333333333,954.6666666666666,1.3333333333333333,3.888888888888889,0.508778507680248,25.0,4.0,14.333333333333334,71.55555555555556,160.44444444444446,113.66666666666667,33.333333333333336,24.88888888888889,34.55555555555556,0.0,2.6666666666666665,2.6666666666666665,0.0,9.555555555555555,0.0,0.0,0.0,0.0,0.0,2376.6666666666665,4724.666666666667,1.9433333333333331,39.43444444444444,1.641111111111111,25.14888888888889,0.5433333333333333,6.3244444444444445,0.34444444444444444,5.825555555555556,0.4588888888888889,8.511111111111111,0.0,0.0,0.02,0.9066666666666667,0.02,0.9066666666666667,0.0,0.0,0.1111111111111111,2.1077777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.417777777777776,588.9444444444445,56.21,1145.17,0.0,0.0,0.0,99.6371806954117,6.505352429957146,-0.40740740740740744,-0.6489478114478113,9.769858308920574,34.262190830611885,47.795949584184875,5.42962962962963,0.4722222222222222,12.49074074074074,0.0,-0.1111111111111111,-0.1111111111111111,0.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,378.62244286835033,13.69339068262006,4.682475152507696,16.27336417513563,2.4536090873895753,18.86952811951929,0.70719279419894,1.5052704203453828,-0.1111111111111111,0.034722222222222224,0.8654533844189015,6.390993265993266,0.0,0.0,-0.1111111111111111,0.0,0.0,0.08,0.0,0.0,-0.016666666666666666,0.3158333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.53199661648607,70.21251278028915,3.4717225877361684,4.881003616210486,2016.0,2.0,46.0,93.0,3703.0,2019.75,11308409.5,0.05813449704642212,6661043.25,0.03410719423287925
Aaron Banks,aaron banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,2.0,48.0,25.0,4896.0,2021.0,7073608.0,0.0387594958904109,4145968.0,0.0227176328767123
Aaron Burbridge,aaron burbridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,6.0,213.0,16.0,3864.0,2017.6666666666667,1046518.6666666666,0.006491555676745701,33452.0,0.00021544406517676665
Aaron Colvin,aaron colvin,1991.0,2014.0,4.0,14.0,114.0,72.0,191.0,2016.857142857143,27.714285714285715,6.0,0.7142857142857143,2.7142857142857144,5.0,0.0,0.2857142857142857,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,410.57142857142856,572.2857142857143,2.0,8.428571428571429,0.7074674656667543,25.857142857142858,2.857142857142857,8.857142857142858,39.0,136.85714285714286,29.285714285714285,3.142857142857143,15.714285714285714,27.285714285714285,0.0,1.1428571428571428,2.5714285714285716,0.0,3.4285714285714284,0.0,0.0,0.0,0.0,0.0,1990.2857142857142,2705.8571428571427,1.75,46.66857142857143,0.3742857142857143,9.924285714285714,0.041428571428571426,1.0357142857142858,0.16714285714285712,6.168571428571428,0.30142857142857143,9.964285714285714,0.0,0.0,0.015714285714285715,0.2814285714285715,0.025714285714285714,1.0642857142857143,0.0,0.0,0.03428571428571429,1.4185714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.849999999999998,671.6328571428572,36.16571428571429,877.76,0.0,0.0,0.0,2.2860115864560946,0.5286369296410296,0.2857142857142857,1.1850340136054422,1.6679412785002632,11.085023111693804,0.47267037883114416,-0.5216450216450216,0.7436652641421225,7.8685737452875895,0.0,-0.35714285714285715,0.0,0.0,-0.24285714285714285,0.0,0.0,0.0,0.0,0.0,23.940357802977985,3.016709066433434,2.009608144498707,2.0121402451640185,0.15437524632509997,-0.14350901525658807,-0.4869047619047619,-0.3450029194239003,0.6942355889724311,0.3238569424964937,2.500568227290916,1.5109279354266822,0.0,0.0,-0.2857142857142857,-0.29071428571428576,0.0,0.0,0.0,0.0,-0.2857142857142857,0.2544376672017122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.240263134438485,4.945913871069769,0.3037851763328257,0.5846803341685552,2014.0,4.0,114.0,65.0,3314.0,2018.2,7745930.4,0.04451283396986422,3718130.4,0.02113620740563128
Aaron Curry,aaron curry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666663,0.0,-0.9411764705882352,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8941798941798942,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,1.0,4.0,48.0,2041.0,2011.3333333333333,20616250.0,0.16830598320654988,12170000.0,0.09907791664981323
Aaron Dobson,aaron dobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0,2.0,59.0,24.0,3029.0,2015.3333333333333,1572790.0,0.011922507380814866,391120.0,0.003164401294498367
Aaron Donald,aaron donald,1991.0,2014.0,1.0,13.0,13.0,73.0,280.0,2018.5,75.8,32.3,10.0,47.1,62.5,0.8,0.8,0.4,0.0,8.3,0.0,0.0,0.0,0.0,0.0,738.6,875.0,1.1,2.0,0.6747669017714706,27.5,4.5,16.4,90.1,438.5,151.8,47.1,260.2,348.5,2.8,4.1,2.2,0.0,48.3,0.0,0.0,0.0,0.0,0.0,3332.4,3981.1,4.194,94.85900000000001,1.795,30.589,0.562,9.327,2.5620000000000003,53.634,3.409,72.854,0.045,0.40499999999999997,0.042,0.808,0.019,0.353,0.0,0.0,0.45,9.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.642,564.905,48.22,680.913,-0.1,0.0,0.0,3.8885362332387303,2.49872729802984,-0.2833333333333333,-0.4670076328899858,0.3281150159248689,6.093921128428862,6.90452556022409,9.043333333333333,4.288771929824561,12.267489177489178,0.0,1.2,-0.3,0.0,16.583333333333336,0.0,0.0,0.0,0.0,0.0,2.522211206226229,1.7320620629349268,6.827973495321631,1.3916613979954984,4.450897654764435,1.3394448978092466,1.4814912280701755,4.082238461538461,0.7769200626959248,12.345249183385002,8.391122682227333,6.377809301809302,0.0,0.0,-0.13106060606060604,-0.05241666666666667,-0.1,-0.3,0.0,0.0,0.38,5.292636961082481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0884554552510983,0.2065959541239833,1.9448424832803783,-0.07144234315203606,2014.0,1.0,13.0,138.0,3214.0,2018.0,80045500.0,0.43145244280428474,54009500.0,0.2929250891354085
Aaron Jones,aaron jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,5.0,182.0,86.0,4065.0,2020.3333333333333,24533982.666666668,0.12696913094534365,7240649.333333333,0.03678083401509753
Aaron Lynch,aaron lynch,1993.0,2014.0,5.0,10.0,150.0,78.0,270.0,2017.0,23.142857142857142,6.0,2.2857142857142856,12.0,18.142857142857142,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,296.57142857142856,622.5714285714286,2.0,8.0,0.4342874682625233,24.0,3.0,9.0,40.142857142857146,117.14285714285714,29.285714285714285,10.285714285714286,63.285714285714285,92.85714285714286,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1489.857142857143,2763.4285714285716,1.4142857142857144,39.98142857142857,0.3685714285714286,9.982857142857142,0.13857142857142857,3.5785714285714287,0.7257142857142858,21.889999999999997,1.1,31.935714285714287,0.0,0.0,0.03571428571428571,0.55,0.0,0.0,0.0,0.0,0.017142857142857144,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.06142857142857,515.0600000000001,38.269999999999996,888.0085714285715,-0.2857142857142857,0.0,0.0,-0.5823840458138407,-0.39207184694566494,0.8571428571428571,5.0,-0.46895367120568104,-0.5867918962768476,-0.6311566110936797,-0.6358922913753388,-0.5543229528140047,-0.5163626357187759,-0.2857142857142857,-0.20714285714285713,-0.42857142857142855,0.0,-0.8760218373063511,0.0,0.0,0.0,0.0,0.0,-0.11286810167701604,0.1445501756676432,-0.6988680477562094,-0.5213079135906534,-0.7148498086193003,-0.5652293492207499,-0.6303281942145578,-0.5134491512320556,-0.7133930635520772,-0.5146457706091645,-0.6735454378041111,-0.49492997421553886,-0.14285714285714285,-0.2857142857142857,-0.17142857142857143,-0.20717625298635908,-0.2857142857142857,-0.42857142857142855,0.0,0.0,-0.8153310104529616,-0.7739833410233194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5575601767110132,-0.11286649337770248,-0.33571799144041187,0.14454855439278583,2014.0,5.0,150.0,81.0,3348.0,2017.75,2232000.0,0.013454980436170876,674500.0,0.0037961920568591496
Aaron Maybin,aaron maybin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,138.0,2.0,15.0,0.2753623188405797,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,138.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0625,-0.5939067725752508,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
